QUERY NO.,AVG. TIME TAKEN,MEDIAN OF EXECUTION TIME,STD. DEV. OF EXECUTION TIME
QUERY 1,100.03024559020996,107.71645402908325,41.55599653675061
QUERY 2,7.413564920425415,7.560681581497192,2.234705337938458
QUERY 3,81.5292179107666,119.24686551094055,50.93655425183389
QUERY 4,17.317706489562987,20.104520797729492,12.751192168870213
QUERY 5,51.63449287414551,1.6590440273284912,62.45763732833208
QUERY 6,4.012124919891358,0.28479862213134766,4.75711203800268
QUERY 7,53.57375421524048,53.116650342941284,13.241382921508391
QUERY 8,110.46488518714905,3.292119026184082,132.72856015819062
QUERY 9,162.64888224601745,24.576956033706665,188.19886161190396
QUERY 10,156.05323071479796,1.9239020347595215,190.3187299476779
QUERY 11,80.06623883247376,66.55397391319275,66.55397391319275
QUERY 12,163.25132517814637,251.05548667907715,251.05548667907715
