Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Avg_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time
lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,70906.25512,74831.88271,153845,15.050403594970703,16.35268545150757,15.71462779045105,15.84995150566101,0.5036190805900429
lineitem_table,L_EXTENDEDPRICE,SELECTION QUERY,62939.18542,94442.36635,967453,27.235451698303223,28.20289921760559,27.67140736579895,27.710201501846313,0.3208724450453305
lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,70906.25512,74831.88271,153845,21.250866889953613,22.672055959701538,21.993443870544432,21.92848229408264,0.4608011487704886
lineitem_table,L_EXTENDEDPRICE,JOIN QUERY,62939.18542,94442.36635,967453,38.97075176239014,40.24202537536621,39.51963448524475,39.22260594367981,0.5604085018136891
order_table,O_TOTALPRICE,SELECTION QUERY,377866.05995,497174.07002,8578,2.539150333404541,2.198741912841797,3.1561779975891113,2.455599308013916,0.33057437525631606
order_table,O_TOTALPRICE,SELECTION QUERY,486587.13799,524015.78705,45,2.2321219444274902,2.1277852058410645,2.3526570796966553,2.205742120742798,0.09543787299247189
order_table,O_TOTALPRICE,JOIN QUERY,377866.05995,497174.07002,58977,21.336799144744873,22.37624502182007,21.92328028678894,21.9324791431427,0.39971706178682265
order_table,O_TOTALPRICE,JOIN QUERY,486587.13799,524015.78705,314,3.326101303100586,3.6319289207458496,3.47622013092041,3.435039758682251,0.10728766741475713
lineitem_table,L_ORDERKEY,SELECTION QUERY,96676,5531342,5434458,92.45919585227966,237.49148797988892,187.71699047088623,207.19471311569214,49.70607442795113
lineitem_table,L_ORDERKEY,SELECTION QUERY,4670197,4927408,257541,7.894493818283081,16.87636709213257,10.697893047332764,9.708475112915039,3.177783276355483
lineitem_table,L_ORDERKEY,JOIN QUERY,96676,5531342,5434458,253.40625882148743,495.35121273994446,390.9138202190399,395.9639663696289,78.5744546179404
lineitem_table,L_ORDERKEY,JOIN QUERY,4670197,4927408,257541,7.725592851638794,63.518715620040894,20.674596643447877,11.52641773223877,21.47771166227609
order_table,O_ORDERKEY,JOIN QUERY,96676,5531342,5434458,199.59712052345276,4349.51145029068,1185.6749388217927,452.2857916355133,1585.4341236336475
order_table,O_ORDERKEY,JOIN QUERY,4670197,4927408,257541,9.11080002784729,56.59468960762024,20.411147117614746,12.091115951538086,18.13033487881748
order_table,O_ORDERKEY,SELECTION QUERY,96676,5531342,1358668,10.722878694534302,24.960752248764038,16.641697025299074,12.346951484680176,6.391349799358437
order_table,O_ORDERKEY,SELECTION QUERY,4670197,4927408,64304,0.5167033672332764,1.5950870513916016,0.8265278339385986,0.6026360988616943,0.4044194243002996
