Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result_Set_Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,117473.0,1617473.0,375001,2.314936399459839,2.5886716842651367,2.370164155960083,0.09834498904249372,2.4173779487609863
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,128494.0,1628494.0,375000,2.3105483055114746,2.412919521331787,2.346238136291504,0.03493321374610471,2.35404109954834
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4673985.0,6173985.0,331504,2.0692806243896484,2.222850799560547,2.1049649715423584,0.057206992151001355,2.1267709255218508
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.3064048290252686,2.409311056137085,2.334012269973755,0.037167692420186436,2.3400792121887206
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.3073570728302,2.3888275623321533,2.3407058715820312,0.02828836072004626,2.34770245552063
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3896650.0,5396650.0,375000,2.3468966484069824,2.4782872200012207,2.3611321449279785,0.04842309791776247,2.3840489864349363
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,515299.0,2015299.0,375001,2.338374614715576,2.37955904006958,2.35262131690979,0.014050192166920147,2.3563483238220213
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2538258.0,4038258.0,375000,2.291363000869751,2.3830859661102295,2.3447494506835938,0.03529219046685798,2.3343910694122316
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4673985.0,6173985.0,331504,2.054901123046875,2.1634340286254883,2.082990884780884,0.037073314266572496,2.093677806854248
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.307412624359131,2.369657516479492,2.330740451812744,0.024123843565135687,2.341066837310791
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5335855.0,6835855.0,166033,1.0345039367675781,1.1235182285308838,1.0474493503570557,0.03323057953099435,1.0623109340667725
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,383909.0,1883909.0,375001,2.3221499919891357,2.4995455741882324,2.38275408744812,0.06096453806067965,2.394159507751465
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.316988706588745,2.4271016120910645,2.35648775100708,0.04078912050413675,2.3693114280700684
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4116890.0,5616890.0,375000,2.260756015777588,2.375927209854126,2.2704243659973145,0.04458438230118954,2.297564458847046
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2538258.0,4038258.0,375000,2.274752616882324,2.352398633956909,2.318998098373413,0.027549820729492906,2.3168514251708983
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5651414.0,7151414.0,87145,0.47922706604003906,0.6012322902679443,0.49704885482788086,0.04530433223728321,0.5123085498809814
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3180914.0,4680914.0,375000,2.1880481243133545,2.262638568878174,2.241084575653076,0.026437717293414136,2.229738235473633
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1652610.0,3152610.0,375001,2.2636070251464844,2.307081460952759,2.296642541885376,0.016785248564166494,2.288317918777466
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.233438730239868,2.3622231483459473,2.2683401107788086,0.04366017799525531,2.2831067562103273
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2538258.0,4038258.0,375000,2.2325472831726074,2.3115622997283936,2.2425782680511475,0.028720838214421424,2.2548107624053957
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3499372.0,4999372.0,375000,2.2647762298583984,2.3381779193878174,2.2872257232666016,0.02850422203643129,2.296103858947754
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,73466.0,1573466.0,375000,2.2568349838256836,2.2944767475128174,2.28720760345459,0.014395197856732047,2.2808253288269045
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5297452.0,6797452.0,175633,1.0348694324493408,1.1282498836517334,1.0549952983856201,0.034457187458315996,1.0617667198181153
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4951247.0,6451247.0,262185,1.5362818241119385,1.615842342376709,1.5823805332183838,0.031371215943586495,1.574392557144165
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,436415.0,1936415.0,375000,2.2199089527130127,2.310728073120117,2.2783501148223877,0.02957563895213684,2.2700532913208007
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.257481813430786,2.342064142227173,2.2911720275878906,0.02885536185500456,2.2924726963043214
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5341068.0,6841068.0,164729,0.916823148727417,1.024843692779541,0.9289042949676514,0.03995478806796442,0.945631742477417
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1979946.0,3479946.0,375000,2.134589433670044,2.2202532291412354,2.197895050048828,0.029198517765297305,2.189695453643799
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2538258.0,4038258.0,375000,2.195331335067749,2.2566213607788086,2.2303497791290283,0.023921532322920578,2.2229520320892333
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,797214.0,2297214.0,375000,2.2168214321136475,2.2846996784210205,2.2609500885009766,0.024382380887272726,2.2584879398345947
