Table_Name,Column_Name,Range_Min,Range_Max,Result Set Returned,Avg_Execution_Time,Med_Execution_Time,Std_Deviation
lineitem_table,L_EXTENDEDPRICE,31609.94596,38616.13801,585687,22.07295689582825,22.1243097782135,0.3263065262285944
lineitem_table,L_EXTENDEDPRICE,2080.99881,43886.06395,3471548,91.01786823272705,94.83768343925476,15.008710097567718
lineitem_table,L_EXTENDEDPRICE,31609.94596,38616.13801,585687,39.58891520500183,37.436558961868286,7.848301315326458
lineitem_table,L_EXTENDEDPRICE,2080.99881,43886.06395,3471548,283.79156413078306,217.92924547195435,204.86777782092304
order_table,O_TOTALPRICE,481061.17706,528994.19724,60,13.64558186531067,9.387608766555786,11.119288025723014
order_table,O_TOTALPRICE,34193.28095,59202.10495,137713,4.382090044021607,3.8437774181365967,1.1422719255263067
order_table,O_TOTALPRICE,481061.17706,528994.19724,418,4.547995376586914,4.283564805984497,0.6180297958400314
order_table,O_TOTALPRICE,34193.28095,59202.10495,227795,24.61910285949707,24.206136226654053,1.887964409105388
lineitem_table,L_ORDERKEY,432582,1287534,855121,14.673195505142212,13.83507490158081,1.7502671084947752
lineitem_table,L_ORDERKEY,5099952,5743734,643056,11.143617534637452,11.061644315719604,0.291290647679664
lineitem_table,L_ORDERKEY,432582,1287534,855121,20.724529838562013,20.484269380569458,0.3903533892402753
lineitem_table,L_ORDERKEY,5099952,5743734,643056,16.94389476776123,16.903300046920776,0.4305781123412102
order_table,O_ORDERKEY,432582,1287534,855121,20.448636054992676,20.534235954284668,0.23791814527571595
order_table,O_ORDERKEY,5099952,5743734,643056,16.06220064163208,15.72399091720581,0.7014126797695732
order_table,O_ORDERKEY,432582,1287534,1,0.12233047485351563,0.0010006427764892578,0.2436597649771008
order_table,O_ORDERKEY,5099952,5743734,0,0.007192420959472656,0.0,0.013889928123009486
