Table_Name,Column_Name,Range_Min,Range_Max,Result Set Returned,Avg_Execution_Time,Med_Execution_Time,Std_Deviation
lineitem_table,L_EXTENDEDPRICE,408193,2729055,0,16.86475830078125,15.8579580783844,3.2626208496611815
lineitem_table,L_EXTENDEDPRICE,17537,1240666,4601122,49.11194181442261,48.76563882827759,32.48644654619744
lineitem_table,L_EXTENDEDPRICE,54415,2041052,1554483,44.971613804499306,36.04003167152405,27.177325121559537
lineitem_table,L_EXTENDEDPRICE,408193,2729055,0,15.438979482650756,13.807037591934204,2.6826851999291734
lineitem_table,L_EXTENDEDPRICE,17537,1240666,4601122,118.05072774887086,117.21440100669861,102.71674533693206
lineitem_table,L_EXTENDEDPRICE,54415,2041052,1554483,97.233655611674,56.190290689468384,88.88982618448343
order_table,O_TOTALPRICE,408193,2729055,2546,2.311663866043091,2.1427958011627197,0.26257438518638376
order_table,O_TOTALPRICE,17537,1240666,1443024,18.60535056591034,17.85279107093811,16.31582435714558
order_table,O_TOTALPRICE,54415,2041052,1262900,16.305415773391722,11.580383539199829,13.714709831698608
order_table,O_TOTALPRICE,408193,2729055,17622,19.198542022705077,18.744289875030518,1.1670129123511912
order_table,O_TOTALPRICE,17537,1240666,5937799,145.74467225074767,129.21181786060333,130.6286972880726
order_table,O_TOTALPRICE,54415,2041052,5667191,173.37760400772095,225.47888278961182,113.69957340207999
lineitem_table,L_ORDERKEY,408193,2729055,2320634,40.04210367202759,40.516850233078,2.9678729323554465
lineitem_table,L_ORDERKEY,17537,1240666,1223068,56.194810557365415,54.98156917095184,16.677353573559202
lineitem_table,L_ORDERKEY,54415,2041052,1986677,68.47180876731872,70.29449725151062,22.100023060089274
lineitem_table,L_ORDERKEY,408193,2729055,2320634,62.39478511810303,61.41191291809082,2.3779875848875185
lineitem_table,L_ORDERKEY,17537,1240666,1223068,48.7405606508255,48.769094467163086,13.824726388162043
lineitem_table,L_ORDERKEY,54415,2041052,1986677,50.8685964902242,54.81260871887207,11.69281365510862
order_table,O_ORDERKEY,408193,2729055,2320634,78.8711260318756,78.41519737243652,4.320494709580096
order_table,O_ORDERKEY,17537,1240666,1223068,54.940303802490234,51.668983817100525,24.127790282883915
order_table,O_ORDERKEY,54415,2041052,1986677,54.637471199035645,54.126076459884644,19.7073522668002
order_table,O_ORDERKEY,408193,2729055,1,2.525950050354004,2.5245766639709473,0.12839726502640872
order_table,O_ORDERKEY,17537,1240666,1,1.820756435394287,1.8154629468917847,0.7162308076604016
order_table,O_ORDERKEY,54415,2041052,0,1.8816561539967855,1.892918348312378,0.5973136952624888
